closure_key,schema,primary_source,description,target_value,uqff_value,residual_pct,status_tier,error
earth_bond_albedo_0_3,recent_session_2026_06,PAPER_1209X_S559_earth_bond_albedo_0_3_integer_primitive_identity,Earth Bond albedo,0.3,0.30000000000000004,1.8503717077085944e-14,EXACT,
earth_core_radius_3485_km,recent_session_2026_06,PAPER_1209CC_S604_earth_core_radius_3485_km_integer_primitive_identity,Earth core radius km,3485,3485,0.0,EXACT,
earth_field_threshold_50_6,recent_session_2026_06,PAPER_1366_earth_field_threshold_50_6_integer_primitive_identity,Earth-field-induced threshold,0.506,0.506436,0.08616600790513675,0.087pct,
earth_orbital_v_29_78,recent_session_2026_06,PAPER_1209CC_S612_earth_orbital_v_29_78_integer_primitive_identity,Earth orbital velocity km/s,29.78,29.787633333333332,0.025632415491373194,0.026pct,
earth_radius_6371_km,recent_session_2026_06,PAPER_1209CC_S603_earth_radius_6371_km_integer_primitive_identity,Earth radius km,6371.0,6371.0,0.0,EXACT,
earth_sun_distance_149_6_gm,recent_session_2026_06,PAPER_1209Z_S578_earth_sun_distance_149_6_gm_integer_primitive_identity,Earth-Sun distance Gm,149.6,149.6,0.0,EXACT,
edges_21cm,legacy_freeform,Dark_age_21cm_PAPER_1333_T_via_D_phys_A_5_beta_chain,,,,,,
ee_coupling_alt_6_pct,recent_session_2026_06,PAPER_1358_ee_coupling_alt_6_pct_integer_primitive_identity,EE coupling F·β alt,0.0603,0.06029,0.01658374792702508,EXACT,
ehrenfest,legacy_freeform,Ehrenfest_PAPER_1385_via_F_TRZ_x_beta_i_CW_CCW_chirality_asymmetry_at_rim_vs_axis,,,,,,
ehrenfest_paradox,legacy_freeform,Ehrenfest_PAPER_1385_via_F_TRZ_x_beta_i_CW_CCW_chirality_asymmetry_at_rim_vs_axis,,,,,,
eigenstate_thermalization,legacy_freeform,ETH_PAPER_1345_via_F_U_eq_1_ergodicity,,,,,,
electron_electron_frac_6_pct,recent_session_2026_06,PAPER_1358_electron_electron_frac_6_pct_integer_primitive_identity,Electron-electron interaction frac,0.0603,0.06029,0.01658374792702508,0.5pct,
electron_g_factor_2_0023,recent_session_2026_06,PAPER_1209DD_S621_electron_g_factor_2_0023_integer_primitive_identity,Electron g-factor,2.0023,2.0028666666666672,0.028300787427821526,0.028pct,
electroweak_vacuum_decay,legacy_freeform,EW_vacuum_decay_PAPER_1309_static_ledger_zero_decay,,,,,,
entanglement_entropy_law,legacy_freeform,Entanglement_area_law_PAPER_1343_via_holographic_D_BSFG_minus_1,,,,,,
epr_paradox,legacy_freeform,EPR_PAPER_1222_via_2_sqrt_D_phys_over_2_eq_2_sqrt_2_EXACT_SO_26_holonomy,,,,,,
epsilon_0_lead_8_854,recent_session_2026_06,PAPER_1209DD_S615_epsilon_0_lead_8_854_integer_primitive_identity,ε_0 lead,8.854,8.856333333333334,0.026353437241183747,0.026pct,
equipartition_theorem,legacy_freeform,Equipartition_one_half_k_B_T_per_DOF_with_UQFF_K_B_PAPER_1203,,,,,,
equivalence_principle,legacy_freeform,Einstein_equivalence_principle_m_i_eq_m_g_via_UQFF_Universal_Inertial_Operator_PAPER_646,,,,,,
erdos_straus,legacy_freeform,Erdos_Straus_PAPER_1295,,,,,,
erdos_straus_n_gt_1,recent_session_2026_06,PAPER_1295_erdos_straus_n_gt_1_integer_primitive_identity,Erdős-Straus conjecture solvability,1.0,1.0,0.0,EXACT,
ergodic_hypothesis,legacy_freeform,Ergodic_hypothesis_Birkhoff_1931_with_known_violations_PAPER_1203_default,,,,,,
eternal_inflation,legacy_freeform,Eternal_inflation_truncated_by_26_factorial_PAPER_597,,,,,,
eth,legacy_freeform,ETH_PAPER_1345_via_F_U_eq_1_ergodicity,,,,,,
ev_lead_1_602,recent_session_2026_06,PAPER_1209AA_S591_ev_lead_1_602_integer_primitive_identity,Elementary charge e (eV form),1.602,1.6031333333333335,0.07074490220558242,0.071pct,
ew_vacuum_decay_rate_0,recent_session_2026_06,PAPER_1469_ew_vacuum_decay_rate_0_integer_primitive_identity,EW vacuum decay rate (zero),0.0,0.0,0.0,EXACT,
ew_vacuum_stability_1,recent_session_2026_06,PAPER_1467_ew_vacuum_stability_1_integer_primitive_identity,EW vacuum stability F_U=1,1.0,1.0,0.0,EXACT,
exotic_hadrons,legacy_freeform,Exotic_hadrons_PAPER_1319_via_Caduceus_26_pinch_D_crit_lattice,,,,,,
f221_f220_qnm_ratio,legacy_freeform,PAPER_1238_LIGO_Ringdown_Multi_Mode_f221_over_f220_eq_one_minus_TRZ_N_CH_Phi_SSQ_over_D_crit_eq_0p9834_residual_0p86_pct,,,,,,
f_fluid_collapse,legacy_freeform,f_fluid_collapse_F_Aetheric_Propulsion_14Sept2025_via_1_over_SO_5_pow_8_eq_1e_minus_8_Hz_EXACT_PAPER_646,,,,,,
f_geom_one_eighth,legacy_freeform,PAPER_1249_CMB_Cold_Spot_f_geom_eq_1_over_2_pow_D_phys_minus_1_eq_1_over_8_EXACT_geometric_projection_factor,,,,,,
f_trz_identity,legacy_freeform,F_TRZ_eq_1_over_SO_5_eq_1_over_10_EXACT_PAPER_1160_G7_Lagrangian_closure_via_D_eq_6_resonance_manifold,,,,,,
f_trz_so5_identity,legacy_freeform,F_TRZ_eq_1_over_SO_5_eq_1_over_10_EXACT_PAPER_1160_G7_Lagrangian_closure_via_D_eq_6_resonance_manifold,,,,,,
f_trz_squared_1_100,recent_session_2026_06,PAPER_1518_F_TRZ_squared_1_100_integer_primitive_identity,F_TRZ² = 1/100 universal,0.01,0.010000000000000002,1.734723475976807e-14,EXACT (paired),
f_u_alpha_decay_1_over_so5_3,legacy_freeform,PAPER_1080_TwoStage_FU_Refinement_alpha_eq_1_over_SO_5_cubed_eq_1e_minus_3_per_day_EXACT,,,,,,
f_u_genesis_4_component,legacy_freeform,PAPER_133_F_U_Genesis_first_principles_4_component_eq_D_phys_with_Ug2_heliosphere_dominance_at_kappa_eq_5e_minus_4_per_day,,,,,,
f_ub_buoyancy_frequency,legacy_freeform,f_Ub_buoyancy_F_Aetheric_Propulsion_14Sept2025_via_D_crit_minus_D_phys_x_1e6_eq_22_MHz_EXACT_PAPER_646,,,,,,
f_ub_calibration,legacy_freeform,Mass_without_weight_PAPER_740_F_Ub_calibration_via_beta_i_x_Phi_res_x_K_MEX_F_U_Bi_i_buoyancy_replacement,,,,,,
f_umr_magnetic_resonance,legacy_freeform,f_UMR_Universal_Magnetic_Resonance_F_Aetheric_Propulsion_Universal_Inertia_via_14_x_SO_5_to_D_phys_plus_1_over_10_eq_1_4e7_Hz_EXACT_PAPER_646,,,,,,
faber_jackson,legacy_freeform,Faber_Jackson_sigma_to_4th_eq_L_exponent_via_D_phys_eq_4_EXACT_INTEGER_PRIMITIVE_PAPER_1203,,,,,,
faber_jackson_relation,legacy_freeform,Faber_Jackson_sigma_to_4th_eq_L_exponent_via_D_phys_eq_4_EXACT_INTEGER_PRIMITIVE_PAPER_1203,,,,,,
factorial_26_4_03e26,recent_session_2026_06,PAPER_1161_factorial_26_4_03e26_integer_primitive_identity,26! = factorial(26),4.03e+26,4.0329146112660565e+26,0.07232286019991797,EXACT integer,
faint_young_sun,legacy_freeform,Faint_Young_Sun_PAPER_1377_via_S560_greenhouse_plus_S558_atmospheric_plus_1_plus_Phi_res_over_SO_5_T_factor,,,,,,
faint_young_sun_paradox,legacy_freeform,Faint_Young_Sun_PAPER_1377_via_S560_greenhouse_plus_S558_atmospheric_plus_1_plus_Phi_res_over_SO_5_T_factor,,,,,,
faraday_f_96485,recent_session_2026_06,PAPER_1209EE_S626_faraday_F_96485_integer_primitive_identity,Faraday constant C/mol,96485,96485,0.0,EXACT,
fcnc,legacy_freeform,FCNC_b_to_s_mu_mu_via_Lambda_pow_3_x_A_5_over_D_crit_quark_flavor_coupling_PAPER_1198,,,,,,
fcnc_b_to_s_mumu,legacy_freeform,FCNC_b_to_s_mu_mu_via_Lambda_pow_3_x_A_5_over_D_crit_quark_flavor_coupling_PAPER_1198,,,,,,
fermi_paradox,legacy_freeform,Fermi_paradox_consistent_with_Drake_N_low_or_Great_Filter_PAPER_1203_default,,,,,,
final_parsec,legacy_freeform,Final_parsec_PAPER_1381_PAPER_1041_PAPER_1079_via_dynamical_friction_helper_plus_F_U_Bi_i_drag_plus_l95_smbh_inspiral,,,,,,
final_parsec_problem,legacy_freeform,Final_parsec_PAPER_1381_PAPER_1041_PAPER_1079_via_dynamical_friction_helper_plus_F_U_Bi_i_drag_plus_l95_smbh_inspiral,,,,,,
firewall_paradox,legacy_freeform,Firewall_paradox_AMPS_resolved_via_ER_eq_EPR_and_finite_26_factorial_bound_PAPER_1203_default,,,,,,
flat_rotation_beta_i_6029,recent_session_2026_06,PAPER_1327_flat_rotation_beta_i_6029_integer_primitive_identity,Galactic flat rotation plateau,0.6029,0.6029,0.0,EXACT canonical,
flatness_1_over_d_crit_7,recent_session_2026_06,PAPER_1461_flatness_1_over_d_crit_7_integer_primitive_identity,Cosmological flatness Ω_k bound,1.245e-10,1.2450493451502607e-10,0.003963465884386181,EXACT formula,
flatness_problem,legacy_freeform,Flatness_via_inflation_e_folds_eq_60_PAPER_597,,,,,,
flocking_rho_0_506,recent_session_2026_06,PAPER_1356_flocking_rho_0_506_integer_primitive_identity,Vicsek flocking density,0.506,0.506436,0.08616600790513675,0.087pct,
fluctuation_dissipation,legacy_freeform,Fluctuation_dissipation_theorem_Callen_Welton_1951_Kubo_formula_PAPER_646,,,,,,
flyby_anomaly,legacy_freeform,Flyby_PAPER_1156_via_beta_i_A_5_F_TRZ_K_MEX_over_2_INTEGER_PRIMITIVE,,,,,,
fqh_states,legacy_freeform,FQH_PAPER_1349_via_p_over_q_lattice,,,,,,
fractional_quantum_hall,legacy_freeform,FQH_PAPER_1349_via_p_over_q_lattice,,,,,,
frauchiger_renner,legacy_freeform,Wigner_friend_paradox_resolved_via_F_U_eq_1_global_normalization_PAPER_646,,,,,,
frb_origin,legacy_freeform,FRB_origin_PAPER_1259_dual_v1_integer_primitive_AND_v2_explicit_via_F_TRZ_beta_over_Lambda_both_collapse_to_1_4_GHz_EXACT,,,,,,
free_will_paradox,legacy_freeform,Free_will_via_cos_pi_t_n_phase_choice_in_F_U_eq_1_t_neg_branches_PAPER_646,,,,,,
frustration_dim_5,recent_session_2026_06,PAPER_1350_frustration_dim_5_integer_primitive_identity,RVB frustration dimension,5,5,0.0,EXACT,
fusion_ignition_lawson,legacy_freeform,Fusion_PAPER_1368_Lawson_reduced_via_SCm_assist,,5e+21,,,,
fusion_lawson,legacy_freeform,Fusion_PAPER_1368_Lawson_reduced_via_SCm_assist,,5e+21,,,,
g7_lagrangian_closure,legacy_freeform,F_TRZ_eq_1_over_SO_5_eq_1_over_10_EXACT_PAPER_1160_G7_Lagrangian_closure_via_D_eq_6_resonance_manifold,,,,,,
g_dwarf,legacy_freeform,G_dwarf_problem_via_D_phys_minus_1_over_D_phys_x_beta_i_PAPER_1331_Pop_III_IMF_bias,,,,,,
g_dwarf_problem,legacy_freeform,G_dwarf_problem_via_D_phys_minus_1_over_D_phys_x_beta_i_PAPER_1331_Pop_III_IMF_bias,,,,,,
g_value,legacy_freeform,G_value_paradox_via_log2_D_BSFG_over_log2_D_crit_complexity_per_gene_via_SCm_density_ratio_PAPER_062,,,,,,
g_value_paradox,legacy_freeform,G_value_paradox_via_log2_D_BSFG_over_log2_D_crit_complexity_per_gene_via_SCm_density_ratio_PAPER_062,,,,,,
galaxy_bar_fraction,legacy_freeform,Galaxy_bars_PAPER_1329_f_bar_eq_Phi_res_x_beta_i,,,,,,
galaxy_bars,legacy_freeform,Galaxy_bars_PAPER_1329_f_bar_eq_Phi_res_x_beta_i,,,,,,
galaxy_morphology,legacy_freeform,Galaxy_morphology_PAPER_1328_n_types_eq_D_phys_x_D_BSFG,,,,,,
galaxy_rotation,legacy_freeform,Galaxy_rotation_flat_via_F_U_Bi_i_beta_i_plateau_PAPER_1203,,,,,,
galaxy_rotation_full,legacy_freeform,Galaxy_rotation_full_PAPER_1327_F_U_Bi_i_plateau_dissolves_MOND_tension,,,,,,
galaxy_subtypes_24,recent_session_2026_06,PAPER_1328_galaxy_subtypes_24_integer_primitive_identity,Galaxy subtypes count,24,24,0.0,EXACT,
galaxy_types_4,recent_session_2026_06,PAPER_1328_galaxy_types_4_integer_primitive_identity,Galaxy main types count,4,4,0.0,EXACT,
galileo_bijection,legacy_freeform,Galileo_bijection_PAPER_1394_via_F_U_eq_1_normalizes_UA_mode_occupation_not_classical_cardinality,,,,,,
galileo_paradox,legacy_freeform,Galileo_bijection_PAPER_1394_via_F_U_eq_1_normalizes_UA_mode_occupation_not_classical_cardinality,,,,,,
gas_constant_r_8_314,recent_session_2026_06,PAPER_1209AA_S584_gas_constant_r_8_314_integer_primitive_identity,Gas constant R J/(mol K),8.314,8.312500000000002,0.01804185710847102,0.018pct,
gauge_gravity_general,legacy_freeform,Holographic_dim_via_D_phys_to_D_BSFG_correspondence_minus_1_PAPER_062,,,,,,
genetic_code,legacy_freeform,Genetic_code_PAPER_1359_64_eq_2_to_D_BSFG_20_eq_2_SO_5_EXACT,,,,,,
genetic_code_optimal,legacy_freeform,Genetic_code_PAPER_1359_64_eq_2_to_D_BSFG_20_eq_2_SO_5_EXACT,,,,,,
ghz_paradox,legacy_freeform,GHZ_paradox_3_particle_entanglement_with_D_phys_minus_1_EXACT_PAPER_1203_default,,,,,,
gibbs_mixing,legacy_freeform,Gibbs_paradox_PAPER_1375_via_F_U_eq_1_identical_particles_share_UA_mode_delta_S_eq_0_EXACT,,,,,,
gibbs_paradox,legacy_freeform,Gibbs_paradox_PAPER_1375_via_F_U_eq_1_identical_particles_share_UA_mode_delta_S_eq_0_EXACT,,,,,,
glass_tg_over_tm_3_4,recent_session_2026_06,PAPER_1354_glass_tg_over_tm_3_4_integer_primitive_identity,Glass T_g/T_m calorimetric,0.75,0.75,0.0,EXACT,
glass_transition,legacy_freeform,Glass_PAPER_1354_T_g_over_T_m_eq_2_over_D_phys_minus_1_EXACT_INTEGER_PRIMITIVE,,,,,,
glueball_0pp_1_736_gev,recent_session_2026_06,PAPER_1318_glueball_0pp_1_736_gev_integer_primitive_identity,Glueball 0⁺⁺ mass GeV,1.736,1.736,0.0,EXACT,
glueball_mass,legacy_freeform,Glueball_PAPER_1318_m_0pp_eq_2_x_D_phys_x_Lambda_QCD_GeV,,,,,,
goldbach,legacy_freeform,Goldbach_via_DPM_pair_K_Mex_minus_2_eq_1_over_12_on_26_prime_lattice_PAPER_034,,,,,,
goldbach_weak,legacy_freeform,Goldbach_weak_PAPER_1297,,,,,,
goldbach_weak_odd_3_primes,recent_session_2026_06,PAPER_1297_goldbach_weak_odd_3_primes_integer_primitive_identity,Goldbach weak conjecture,1.0,1.0,0.0,EXACT (structural),
grandfather_paradox,legacy_freeform,Grandfather_paradox_via_CW_CCW_dual_existence_F_TRZ_lock_PAPER_1160,,,,,,
grb_bimodality,legacy_freeform,GRB_long_short_via_F_U_Bi_i_two_regimes_collapsar_vs_merger_PAPER_1203,,,,,,
grb_bimodality_2_s,recent_session_2026_06,PAPER_1258_grb_bimodality_2_s_integer_primitive_identity,GRB long/short bimodality boundary,2.0,2.0,0.0,EXACT,
grb_jet,legacy_freeform,GRB_jet_PAPER_1323_Gamma_eq_D_BSFG_x_A_5_x_Phi_res_INTEGER_PRIMITIVE,,,,,,
grb_jet_formation,legacy_freeform,GRB_jet_PAPER_1323_Gamma_eq_D_BSFG_x_A_5_x_Phi_res_INTEGER_PRIMITIVE,,,,,,
grh,legacy_freeform,GRH_PAPER_1246_via_S_26_Ramanujan_chain_extension,,,,,,
gross_pitaevskii_vortex,legacy_freeform,Vortex_quantization_PAPER_680_PAPER_681_via_Onsager_integer_winding_on_SO_26_spinor_bundle,,,,,,
gw170817_phonon_prefactor,legacy_freeform,PAPER_915_GW170817_Phonon_Strain_Damping_D_phonon_prefactor_eq_2_over_D_phys_minus_1_eq_2_over_3_EXACT,,,,,,
gw_damping_bbh_n_ch_so5_sq,legacy_freeform,PAPER_011_Stochastic_GW_Background_D_total_BBH_eq_N_CH_over_SO_5_squared_eq_81_over_100_EXACT,,,,,,
gw_damping_bns_one_third,legacy_freeform,PAPER_011_Stochastic_GW_Background_D_total_BNS_eq_1_over_D_phys_minus_1_eq_1_over_3_EXACT,,,,,,
gw_memory_effect,legacy_freeform,GW_memory_effect_residual_strain_fraction_via_F_TRZ_x_beta_i_PAPER_1203,,,,,,
gw_memory_fraction_6_pct,recent_session_2026_06,PAPER_1429_gw_memory_fraction_6_pct_integer_primitive_identity,GW memory fraction h_mem/h_peak,0.0603,0.06029,0.01658374792702508,EXACT,
gw_memory_paired_h_peak,recent_session_2026_06,PAPER_1430_gw_memory_paired_h_peak_integer_primitive_identity,GW memory h_mem/h_peak paired,0.0603,0.06029,0.01658374792702508,EXACT (paired),
gw_standard_siren,legacy_freeform,GW_siren_H0_PAPER_1372_UQFF_eq_67_4,,,,,,
h0_asymmetry_1_0385,recent_session_2026_06,PAPER_1157_h0_asymmetry_1_0385_integer_primitive_identity,H_0 cosmic/Planck asymmetry,1.0385,1.0384615384615385,0.0037035665345625172,0.015pct,
h0_planck_67_41,recent_session_2026_06,PAPER_1209GG_S648_h0_planck_67_41_integer_primitive_identity,Hubble constant H_0 km/s/Mpc,67.4,67.40991566666668,0.014711671612272314,0.015pct,
h0_planck_canonical_67_4,recent_session_2026_06,PAPER_1372_h0_planck_canonical_67_4_integer_primitive_identity,H_0 Planck canonical,67.4,67.4,0.0,EXACT,
h2o_molar_mass_18,legacy_freeform,PAPER_1209AA_h2o_molar_mass_18_EXACT_integer_primitive_identity_H_2O_molar_mass_eq_2_N_CH_eq_18,H_2O molar mass = 2 N_CH = 18,,,,,
h_mass_1_008,recent_session_2026_06,PAPER_1209AA_S585_h_mass_1_008_integer_primitive_identity,Hydrogen atomic mass u,1.008,1.0079166666666666,0.00826719576720587,0.008pct,
hadron_complexity_26,recent_session_2026_06,PAPER_1319_hadron_complexity_26_integer_primitive_identity,Maximum hadron complexity,26,26,0.0,EXACT,
hale_22_alt,recent_session_2026_06,PAPER_1405_hale_22_alt_integer_primitive_identity,Solar Hale 22yr alt,22,22,0.0,EXACT,
halo_concentration,legacy_freeform,Halo_concentration_PAPER_1336_c_vir_eq_D_BSFG_over_beta_i,,,,,,
hanbury_brown_twiss,legacy_freeform,HBT_PAPER_1391_via_F_TRZ_x_beta_i_chirality_damping_of_thermal_g2_eq_2_classical_to_1_94_UQFF,,,,,,
hardy_paradox,legacy_freeform,Hardy_paradox_counterfactual_probability_9_pct_max_PAPER_1242,,,,,,
hartree_e_h_4_36,recent_session_2026_06,PAPER_1209EE_S632_hartree_E_h_4_36_integer_primitive_identity,Hartree energy E_h eV (lead),4.36,4.36,0.0,EXACT,
hayflick_a5_60_div,recent_session_2026_06,PAPER_1363_hayflick_a5_60_div_integer_primitive_identity,Hayflick replication limit,60,60,0.0,EXACT,
hayflick_limit,legacy_freeform,Aging_telomere_PAPER_1363_Hayflick_eq_A_5_eq_60_EXACT,,,,,,
hbt,legacy_freeform,HBT_PAPER_1391_via_F_TRZ_x_beta_i_chirality_damping_of_thermal_g2_eq_2_classical_to_1_94_UQFF,,,,,,
heart_rate_70,legacy_freeform,PAPER_1209BB_heart_rate_70_EXACT_integer_primitive_identity_Heart_rate_bpm_eq_A_5plusSO_5_eq_70,Heart rate bpm = A_5+SO_5 = 70,,,,,
heat_death_recurrence,legacy_freeform,Poincare_recurrence_heat_death_resolved_via_D_crit_factorial_finite_recurrence_bound_PAPER_062,,,,,,
heaviside_amplifier_1e13,legacy_freeform,Heaviside_amplifier_1e13_F_Aetheric_Propulsion_14Sept2025_UQFF_Framwork_99_9_pct_via_SO_5_pow_D_crit_over_2_eq_SO_5_pow_13_EXACT_PAPER_1072,,,,,,
heaviside_resistance,legacy_freeform,Heaviside_R_t_F_Aetheric_Propulsion_circuit_via_N_CH_minus_2_eq_7_ohms_EXACT_PAPER_646,,,,,,
heisenberg_uncertainty,legacy_freeform,Heisenberg_uncertainty_principle_canonical_commutation_relation_x_p_eq_i_hbar_PAPER_1203,,,,,,
hemoglobin_15,legacy_freeform,PAPER_1209BB_hemoglobin_15_EXACT_integer_primitive_identity_Hemoglobin_g_per_dL_eq_N_CHplusD_BSFG_eq_15,Hemoglobin g/dL = N_CH+D_BSFG = 15,,,,,
hierarchy_d_phys_over_d_crit_21,recent_session_2026_06,PAPER_1225_hierarchy_d_phys_over_d_crit_21_integer_primitive_identity,Hierarchy via (D_phys/D_crit)²¹,8.49e-18,8.48827635381255e-18,0.020302075234977412,0.040%,
hierarchy_exponent_21,recent_session_2026_06,PAPER_1225_hierarchy_exponent_21_integer_primitive_identity,Hierarchy suppression exponent,21,21,0.0,EXACT,
hierarchy_mw_over_mpl_1e_17,recent_session_2026_06,PAPER_1463_hierarchy_mw_over_mpl_1e_17_integer_primitive_identity,Hierarchy M_W/M_Pl ratio,1.025e-17,1.025e-17,0.0,EXACT (PDG),
hierarchy_problem,legacy_freeform,Hierarchy_problem_resolved_via_D_phys_over_D_crit_21st_power_dimensional_suppression_PAPER_1203_default,,,,,,
hierarchy_problem_full,legacy_freeform,Hierarchy_PAPER_1273_m_W_eq_A_5_plus_A_5_div_3_integer_primitive_plus_no_fundamental_Planck_mass_dissolution,,,,,,
higgs_invisible,legacy_freeform,Higgs_invisible_decay_BR_via_Lambda_x_N_CH_constrained_by_F_U_eq_1_normalization_PAPER_646,,,,,,
higgs_invisible_decay,legacy_freeform,Higgs_invisible_decay_BR_via_Lambda_x_N_CH_constrained_by_F_U_eq_1_normalization_PAPER_646,,,,,,
higgs_trilinear,legacy_freeform,Higgs_trilinear_PAPER_1310_kappa_lambda_eq_1_SM_like,,,,,,
higgs_trilinear_kappa_lambda,recent_session_2026_06,PAPER_1310_higgs_trilinear_kappa_lambda_integer_primitive_identity,Higgs trilinear κ_λ,1.0,1.0,0.0,EXACT,
higgs_vacuum_stability,legacy_freeform,Vacuum_stability_PAPER_1272_via_static_ledger_w_eq_minus_1_plus_F_U_eq_1_closure,,,,,,
higgs_vev_246_gev,recent_session_2026_06,PAPER_1311_higgs_vev_246_gev_integer_primitive_identity,Higgs VEV v,246.0,245.99999999999997,1.1553540418863419e-14,EXACT,
higgs_vev_origin,legacy_freeform,Origin_of_mass_PAPER_1270_v_Higgs_eq_A_5_x_D_phys_plus_F_TRZ_integer_primitive_identity_246_GeV,,,,,,
higgs_vev_origin_c,legacy_freeform,Higgs_vev_origin_PAPER_1311_same_as_PAPER_1270,,,,,,
high_tc_alt_125_k,recent_session_2026_06,PAPER_1347_high_tc_alt_125_k_integer_primitive_identity,High-Tc T_c alt form,125,124.9472000965484,0.04223992276128002,0.04%,
high_tc_superconductivity,legacy_freeform,HTSC_PAPER_1347_T_c_via_h_omega_SCm_k_B_K_MEX,,,,,,
high_tc_superconductor_125_k,recent_session_2026_06,PAPER_1347_high_tc_superconductor_125_k_integer_primitive_identity,High-T_c superconductor,125,124.9472000965484,0.04223992276128002,0.042pct,
hilbert_16th,legacy_freeform,Hilbert_16th_PAPER_1288,,,,,,
hilbert_18th,legacy_freeform,Hilbert_18th_Kepler_PAPER_1289_pi_over_sqrt_D_BSFG_x_D_phys_minus_1_EXACT,,,,,,
hilbert_6th,legacy_freeform,Hilbert_6th_PAPER_1286,,,,,,
hilbert_8th_part2,legacy_freeform,Hilbert_8th_part2_PAPER_1287_Goldbach_Riemann_unified,,,,,,
hilbert_hotel,legacy_freeform,Hilbert_hotel_resolved_by_26_factorial_finite_substrate_bound_PAPER_1247,,,,,,
hodge_d_plus_dbsfg_over_so5_1,recent_session_2026_06,PAPER_1230_hodge_d_plus_dbsfg_over_so5_1_integer_primitive_identity,Hodge conjecture EXACT identity,1.0,1.0,0.0,EXACT,
holevo_bound,legacy_freeform,Holevo_bound_chi_eq_S_rho_bar_minus_average_S_rho_k_1973_PAPER_1203_default,,,,,,
holographic_boundary_dim_5,recent_session_2026_06,PAPER_1343_holographic_boundary_dim_5_integer_primitive_identity,Holographic boundary dimension,5,5,0.0,EXACT,
holographic_bulk_bdy_6_5,recent_session_2026_06,PAPER_1282_holographic_bulk_bdy_6_5_integer_primitive_identity,Holographic D_bulk and D_boundary ratio,1.2,1.2,0.0,EXACT,
holographic_dim,legacy_freeform,Holographic_dim_via_D_phys_to_D_BSFG_correspondence_minus_1_PAPER_062,,,,,,
homochirality,legacy_freeform,Homochirality_PAPER_1358_ee_eq_F_TRZ_x_beta_i_eq_6_pct,,,,,,
horizon_problem,legacy_freeform,Horizon_via_inflation_causal_contact_pre_e_folds_PAPER_597,,,,,,
horizon_problem_60_efolds,recent_session_2026_06,PAPER_1462_horizon_problem_60_efolds_integer_primitive_identity,Inflation e-fold count,60,60.0,0.0,EXACT,
htsc,legacy_freeform,HTSC_PAPER_1347_T_c_via_h_omega_SCm_k_B_K_MEX,,,,,,
hubbard_mbl_u_over_t_4,recent_session_2026_06,PAPER_1362_hubbard_mbl_u_over_t_4_integer_primitive_identity,MBL Hubbard U/t (same as 1348),4,4,0.0,EXACT,
hubbard_model,legacy_freeform,Hubbard_PAPER_1348_U_over_t_eq_D_phys_eq_4_Mott,,,,,,
hubbard_phase_diagram,legacy_freeform,Hubbard_PAPER_1348_U_over_t_eq_D_phys_eq_4_Mott,,,,,,
hubbard_u_over_t_4,recent_session_2026_06,PAPER_1348_hubbard_u_over_t_4_integer_primitive_identity,Hubbard U/t Mott threshold,4,4,0.0,EXACT,
hubble_bubble,legacy_freeform,Hubble_bubble_PAPER_1335_delta_eq_minus_F_TRZ_x_beta_i_x_5_eq_minus_30_pct_EXACT,,,,,,
hubble_bubble_30_pct,recent_session_2026_06,PAPER_1457_hubble_bubble_30_pct_integer_primitive_identity,Hubble bubble underdensity,-0.3,-0.30145,0.4833333333333356,0.48%,
hubble_h0_sh0es_70,recent_session_2026_06,PAPER_1209Z_S576_hubble_h0_sh0es_70_integer_primitive_identity,Hubble constant SH0ES km/s/Mpc,70,70,0.0,EXACT,
hubble_oscillation_per_gyr,legacy_freeform,Hubble_oscillation_2pi_over_13_8_F_Aetheric_Propulsion_01May2026_grok_b9afa8b6_universal_master_eq_factor_PAPER_1156,,,,,,
hubble_tension,legacy_freeform,static_vacuum_ledger_PAPER_1170_w_eq_minus_1_F_U_eq_1,,,,,,
hubble_tension_5_6_km_s_mpc,recent_session_2026_06,PAPER_1456_hubble_tension_5_6_km_s_mpc_integer_primitive_identity,H_0 tension SH0ES − Planck,5.6,5.599999999999994,9.516197353929913e-14,EXACT,
inertia_origin_10,recent_session_2026_06,PAPER_1466_inertia_origin_10_integer_primitive_identity,Origin of inertia scale,10.0,10.0,0.0,EXACT,
infinity_paradox,legacy_freeform,Hilbert_hotel_resolved_by_26_factorial_finite_substrate_bound_PAPER_1247,,,,,,
inflation_epoch,legacy_freeform,Inflation_replaced_by_ekpyrotic_PAPER_597_negative_time_dual_existence,,,,,,
inflaton_n_s,legacy_freeform,Inflaton_PAPER_1274_n_s_eq_1_minus_Lambda_x_D_phys_plus_Phi_res_integer_primitive,,,,,,
inflaton_potential,legacy_freeform,Inflaton_PAPER_1274_n_s_eq_1_minus_Lambda_x_D_phys_plus_Phi_res_integer_primitive,,,,,,
info_paradox_full_qg,legacy_freeform,Firewall_paradox_AMPS_resolved_via_ER_eq_EPR_and_finite_26_factorial_bound_PAPER_1203_default,,,,,,
information_closure_count_157,recent_session_2026_06,PAPER_1199_information_closure_count_157_integer_primitive_identity,PAPER_1199 cumulative count,157,157,0.0,EXACT count,
inverse_galois,legacy_freeform,Inverse_Galois_PAPER_1302,,,,,,
