file,BETA_I,D_BSFG,D_CRIT,D_PHYS,F_TRZ,H_SCM,KAPPA,K_MEX,N_CH,ORD_SO5,PHI_RES,RHO_VAC_SCM,RHO_VAC_UA,SSQ,V_SCM
_session711_mu_3loop_finite_polynomial.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session712_mu_4loop_termination_test.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session713_alpha_4loop_borel_test.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session714_alpha_c3_locked_candidate_hunt.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session715_alpha_4loop_locked_candidate.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session716_mu_5loop_ratio_rule_validation.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session717_alpha_class_universality_test.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session718_c_chain_class_assignment.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session719_hbar_dimensional_class_probe.py,"Fraction(6029, 10000)",6,26,"CONFLICT[4, D_BSFG=6, D_crit=26, N_ch=9, SO5_order=10, A_5=60.x1|4x1]","CONFLICT[1/10, Phi_res=5/6, SSq=57/100, K_Mex=25/12, beta_i=6029/10000x1|Fraction(1, 10)x1]",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session720_hbar_classIV_nogo_and_L_SCM_promotion.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session721_classV_G_and_LSCM_MSCM_proportionality.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session722_K_G_prefactor_search.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session723_K_G_locked_rational.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session724_classVI_Lambda_opening.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session725_cosmological_hierarchy_probe.py,,Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session726_LH_tighten_locked_closure.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),Fraction(10),"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session727_LH42_Lambda_closure.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),Fraction(10),"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session728_triple_track_consolidation.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),Fraction(10),"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session729_H0_eta_hbar_consolidation.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session730_Dcrit7_TCMB_Hubble.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session731_TCMB_OmegaX_motifs.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session732_classX_BAO_audit.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",7.09e-37,,"Fraction(57, 100)",100000000.0
_session733_residual_hierarchy_OmegaB_BAO_crosscheck.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),Fraction(10),"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session734_classXII_tighten_HubbleTension_residual.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session735_universal_residual_HubbleInvariant_sigma8.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session736_delta_univ_classXV_ns_S8_check.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session737_delta_dress_classXVI_alphas_VII_decompose.py,"Fraction(6029, 10000)",Fraction(6),Fraction(26),Fraction(4),"Fraction(1, 10)",,,"Fraction(25, 12)",Fraction(9),,"Fraction(5, 6)",,,"Fraction(57, 100)",C / 3.0
_session738_globalR_classXVII_r_alphas_identity.py,,,,Fraction(4); D_BSFG = Fraction(6); D_crit = Fraction(26),"Fraction(1, 10); Phi_res = Fraction(5, 6); SSq = Fraction(57, 100)",,,"Fraction(25, 12); beta_i = Fraction(6029, 10000)",Fraction(9); SO5 = Fraction(10); A_5 = Fraction(60),,,,,,
_session739_R_xi_classXVIII_OmegaLambda_betas.py,,,,Fraction(4); D_BSFG = Fraction(6); D_crit = Fraction(26),"Fraction(1, 10); Phi_res = Fraction(5, 6); SSq = Fraction(57, 100)",,,"Fraction(25, 12); beta_i = Fraction(6029, 10000)",Fraction(9); SO5 = Fraction(10); A_5 = Fraction(60),,,,,,
_session740_xi_refine_classXIX_age_gammas.py,,,,Fraction(4); D_BSFG = Fraction(6); D_crit = Fraction(26),"Fraction(1, 10); Phi_res = Fraction(5, 6); SSq = Fraction(57, 100)",,,"Fraction(25, 12); beta_i = Fraction(6029, 10000)",Fraction(9); SO5 = Fraction(10); A_5 = Fraction(60),,,,,,
_session741_t0_refine_zeq_classXX_ell1.py,,,,4; D_BSFG = 6; D_crit = 26; N_ch = 9; SO5_order = 10; A_5 = 60,"Fraction(1, 10); Phi_res = Fraction(5, 6); SSq = Fraction(57, 100)",,,"Fraction(25, 12); beta_i = Fraction(6029, 10000)",,,,,,,
_session742_higher_peaks_t0_exact_classXXII_rs.py,,,,,"Fraction(1,10); Phi_res = Fraction(5,6); SSq = Fraction(57,100)",,,"Fraction(25,12); beta_i = Fraction(6029,10000)",,,,,,,
_session743_rs_silk_As.py,,,,,"Fraction(1,10); Phi_res = Fraction(5,6); SSq = Fraction(57,100)",,,"Fraction(25,12); beta_i = Fraction(6029,10000)",,,,,,,
_session744_As_refine_kD_Neff.py,,,,,"Fraction(1,10); Phi_res = Fraction(5,6); SSq = Fraction(57,100)",,,"Fraction(25,12); beta_i = Fraction(6029,10000)",,,,,,,
_session745_As_kD_exact_Yp.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session746_DH_kD_As.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session747_LiH_As_DH.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session748_LiH_He3_eta.py,"F(6029,10000); D_phys = F(4); D_BSFG = F(6); D_crit = F(26)",,,,"F(1,10); Phi_res = F(5,6); SSq = F(57,100); K_Mex = F(25,12)",,,,F(9); SO5 = F(10); A_5 = F(60),,,,,,
_session749_eta_Yp_T0.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session750_eta_T0_H0.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session751_T0_Hratio_sigma8_Omegam.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session752_T0reform_sigma8KiDS_OmegaL.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session753_sigma8push_wDE_Obh2.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session754_Obh2push_zeq_rs.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session755_Obh2unblock_t0_tau.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session756_tauCE_zstar_Neff.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session757_tau_zstar_DH.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session758_mpme_alphaS_Omh2.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session759_tau_zstar_Oc_kpivot.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session760_Och2_mnu_As.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session761_As_obratio_eta.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session762_H0_rdrag_gammaPPN.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session763_NeffBBN_OmK_zreion_dCP.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session764_crossval_omnu_zBAO_etab.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session765_Aplanck_tau_S8_etabwiden.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session766_AL_w0_wa_Hz.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session767_BAO_distance_suite.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session768_BAO_z051_z061.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session769_struct_amp_anchors.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session770_matter_radiation_acoustic.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session771_inflation_reion_age_CV4.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session772_running_zdec_DH_CV5.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session773_zeq_BAO_nu_CV6.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session774_Rstar_DV015_fs8_CV7.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session775_teq_keq_mnu_CV8.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session776_zdrag_theta_OmDE_CV9.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session777_SMsector_CV10.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session778_SMmasses_CV11.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session779_quarks_CKM_CV12.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session780_Higgs_gravity_CV13.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,SO5 - D_BSFG  =  10 - 6  =  4,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,CONFLICT[D_BSFG^2 / D_phys  =  36 / 4  =  9x1|F(9); SO5=F(10); A_5=F(60)x1],,,,,,
_session781_cosmoconst_entropy_CV14.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,4*D_BSFG + 2               (CV-14)  <-- NEW,SO5 - D_BSFG               (CV-13),"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,CONFLICT[D_BSFG^2 / D_phys          (CV-11)x1|F(9); SO5=F(10); A_5=F(60)x1],,,,,,
_session782_lambdaH_yt_etaB_CV15.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session783_sinW_alphasGUT_rho_CV16.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session784_MGUT_Dm2atm_PMNS_CV17.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
_session785_PMNS_solar_reactor_CV18.py,"F(6029,10000); D_phys=F(4); D_BSFG=F(6); D_crit=F(26)",,,,"F(1,10); Phi_res=F(5,6); SSq=F(57,100); K_Mex=F(25,12)",,,,F(9); SO5=F(10); A_5=F(60),,,,,,
