observable,domain,owner_geometry,target_geometry,owner_formula,owner_value,target,primary_source,primitives_used,route_status,route_formula,route_paper
KK_Moon_orbital_period_per_day,KK,dpm,qcalcgeom,+K^5 - F*K^5 - 3 - 5,27.32127097800926,27.32,PAPER_1167,,XGEO_ROUTED_IDENTITY,"+K^5 - F*K^5 - 3 - 5 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Moon_orbital_period_per_day,KK,dpm,bsfg,+K^5 - F*K^5 - 3 - 5,27.32127097800926,27.32,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session690_KK_Moon_orbital_period_per_day.py]: val = +(K**5)-(F*K**5)-Fraction(3,1)-Fraction(5,1) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global",PAPER_1167;_session690_KK_Moon_orbital_period_per_day.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Moon_orbital_period_per_day,KK,dpm,d26,+K^5 - F*K^5 - 3 - 5,27.32127097800926,27.32,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session690_KK_Moon_orbital_period_per_day.py]: val = +(K**5)-(F*K**5)-Fraction(3,1)-Fraction(5,1) || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global",PAPER_1167;_session690_KK_Moon_orbital_period_per_day.py;PAPER_1927
KK_Sun_mass_per_1e29_kg,KK,dpm,qcalcgeom,+K^4 - 2 + 3,19.838011188271604,19.89,PAPER_1167,,XGEO_ROUTED_IDENTITY,"+K^4 - 2 + 3 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Sun_mass_per_1e29_kg,KK,dpm,bsfg,+K^4 - 2 + 3,19.838011188271604,19.89,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session685_KK_Sun_mass_per_1e29_kg.py]: val = +(K**4)-Fraction(2,1)+Fraction(3,1) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global",PAPER_1167;_session685_KK_Sun_mass_per_1e29_kg.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Sun_mass_per_1e29_kg,KK,dpm,d26,+K^4 - 2 + 3,19.838011188271604,19.89,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session685_KK_Sun_mass_per_1e29_kg.py]: val = +(K**4)-Fraction(2,1)+Fraction(3,1) || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global",PAPER_1167;_session685_KK_Sun_mass_per_1e29_kg.py;PAPER_1927
KK_Sun_radius_per_1e8_m,KK,bsfg,qcalcgeom,-F^2*beta^2 - F^2*beta^3 + 2 + 5,6.99417364427611,6.96,PAPER_1167,,XGEO_ROUTED_IDENTITY,"-F^2*beta^2 - F^2*beta^3 + 2 + 5 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Sun_radius_per_1e8_m,KK,bsfg,dpm,-F^2*beta^2 - F^2*beta^3 + 2 + 5,6.99417364427611,6.96,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session687_KK_Sun_radius_per_1e8_m.py]: val = -(F**2*beta**2)-(F**2*beta**3)+Fraction(2,1)+Fraction(5,1) || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;_session687_KK_Sun_radius_per_1e8_m.py;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_Sun_radius_per_1e8_m,KK,bsfg,d26,-F^2*beta^2 - F^2*beta^3 + 2 + 5,6.99417364427611,6.96,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session687_KK_Sun_radius_per_1e8_m.py]: val = -(F**2*beta**2)-(F**2*beta**3)+Fraction(2,1)+Fraction(5,1) || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global",PAPER_1167;_session687_KK_Sun_radius_per_1e8_m.py;PAPER_1927
KK_sidereal_year_per_100_day,KK,qcalcgeom,bsfg,+beta^2 + beta^3 + F*beta + 3,3.642925572389,3.65256,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session691_KK_sidereal_year_per_100_day.py]: val = +(beta**2)+(beta**3)+(F*beta)+Fraction(3,1) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global",PAPER_1167;_session691_KK_sidereal_year_per_100_day.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_sidereal_year_per_100_day,KK,qcalcgeom,dpm,+beta^2 + beta^3 + F*beta + 3,3.642925572389,3.65256,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session691_KK_sidereal_year_per_100_day.py]: val = +(beta**2)+(beta**3)+(F*beta)+Fraction(3,1) || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;_session691_KK_sidereal_year_per_100_day.py;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
KK_sidereal_year_per_100_day,KK,qcalcgeom,d26,+beta^2 + beta^3 + F*beta + 3,3.642925572389,3.65256,PAPER_1167,,XGEO_ROUTED_IDENTITY,"EXTRACTED[_session691_KK_sidereal_year_per_100_day.py]: val = +(beta**2)+(beta**3)+(F*beta)+Fraction(3,1) || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global",PAPER_1167;_session691_KK_sidereal_year_per_100_day.py;PAPER_1927
LCDM_BAO_rd_H0_over_c_alternate,LCDM,d26,qcalcgeom,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form]",0.0330314170065003,0.033040484293971134,PAPER_1156,SO_5;K_MEX;S_26,XGEO_ROUTED_IDENTITY,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form] || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_BAO_rd_H0_over_c_alternate,LCDM,d26,bsfg,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form]",0.0330314170065003,0.033040484293971134,PAPER_1156,SO_5;K_MEX;S_26,XGEO_ROUTED_IDENTITY,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form] || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global",PAPER_1156;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_BAO_rd_H0_over_c_alternate,LCDM,d26,dpm,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form]",0.0330314170065003,0.033040484293971134,PAPER_1156,SO_5;K_MEX;S_26,XGEO_ROUTED_IDENTITY,"r_d*H0/c = 1 / (SO_5 * K_MEX * S_26) [alternate, 3-primitive amplification form] || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1156;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_BAO_rd_H0_over_c_primary,LCDM,d26,qcalcgeom,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form]",0.033043557692307685,0.033040484293971134,PAPER_1156,D_PHYS;D_CRIT;SO_5;SSQ;BETA_I,XGEO_ROUTED_IDENTITY,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form] || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_BAO_rd_H0_over_c_primary,LCDM,d26,bsfg,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form]",0.033043557692307685,0.033040484293971134,PAPER_1156,D_PHYS;D_CRIT;SO_5;SSQ;BETA_I,XGEO_ROUTED_IDENTITY,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form] || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global",PAPER_1156;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_BAO_rd_H0_over_c_primary,LCDM,d26,dpm,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form]",0.033043557692307685,0.033040484293971134,PAPER_1156,D_PHYS;D_CRIT;SO_5;SSQ;BETA_I,XGEO_ROUTED_IDENTITY,"r_d*H0/c = (SO_5 * SSq * beta_i) / (D_phys * D_crit) [primary, 5-primitive triadic co-sum form] || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1156;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_D_over_H,LCDM,d26,qcalcgeom,D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG),2.5833333333333342e-05,2.547e-05,PAPER_1156,D_BSFG;F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,"D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_D_over_H,LCDM,d26,bsfg,D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG),2.5833333333333342e-05,2.547e-05,PAPER_1156,D_BSFG;F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1156;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_D_over_H,LCDM,d26,dpm,D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG),2.5833333333333342e-05,2.547e-05,PAPER_1156,D_BSFG;F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,"D/H = F_TRZ^5 * (K_MEX + Phi_res*F_TRZ*D_BSFG) || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1156;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_EDGES_T21_amplitude,LCDM,d26,qcalcgeom,T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761),-289.392,-289.0,PAPER_1761,D_PHYS;A_5;BETA_I,XGEO_ROUTED_IDENTITY,"T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1761;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_EDGES_T21_amplitude,LCDM,d26,bsfg,T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761),-289.392,-289.0,PAPER_1761,D_PHYS;A_5;BETA_I,XGEO_ROUTED_IDENTITY,T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1761;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_EDGES_T21_amplitude,LCDM,d26,dpm,T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761),-289.392,-289.0,PAPER_1761,D_PHYS;A_5;BETA_I,XGEO_ROUTED_IDENTITY,"T_21 = -D_phys * A_5 * beta_i * 2 [mK]  (integer-primitive EDGES amplitude per PAPER_1761) || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1761;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_EDGES_extra_cooling,LCDM,d26,qcalcgeom,EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ),2.6004514690350304,2.5,PAPER_1156,F_TRZ,XGEO_ROUTED_IDENTITY,"EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_EDGES_extra_cooling,LCDM,d26,bsfg,EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ),2.6004514690350304,2.5,PAPER_1156,F_TRZ,XGEO_ROUTED_IDENTITY,EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1156;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_EDGES_extra_cooling,LCDM,d26,dpm,EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ),2.6004514690350304,2.5,PAPER_1156,F_TRZ,XGEO_ROUTED_IDENTITY,"EDGES = 1 + F_TRZ^(-1/4)*(1-F_TRZ) || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1156;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_H0_tension_ratio,LCDM,d26,qcalcgeom,H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12,1.0833333333333333,1.083679525222552,PAPER_1156,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,"H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12 || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1156;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
LCDM_H0_tension_ratio,LCDM,d26,bsfg,H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12,1.0833333333333333,1.083679525222552,PAPER_1156,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12 || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1156;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
LCDM_H0_tension_ratio,LCDM,d26,dpm,H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12,1.0833333333333333,1.083679525222552,PAPER_1156,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,"H0_local/H0_CMB = 1 + F_TRZ*Phi_res_5_6 = 1 + 1/12 || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1156;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
