quantity,origin,kind,canonical_route,formula,value,reference,residual_pct,sector,phi_variant,paper_source,confirmations,py_sites,cpp_sites,lean_sites,corpus_citations,status
f_trz_6_smbh_rotation_cross_domain,dispatch,closure,,,1e-06,,,,,PAPER_1994,0,_l96_uqff_paper_1994_f_trz_6_smbh_rotation_closure,,,8,derived
f_trz_angular_freq_subladder_emergence_r174_first_domain_seed,dispatch,closure,,,2,,,,,PAPER_2043,0,_l96_uqff_paper_2043_f_trz_angular_freq_subladder_emergence_r174_first_domain_seed_closure,,,30,derived
f_trz_compositional_architecture_6_sub_family_taxonomy_half_factor_sub_family_complete,dispatch,closure,,,6,,,,,PAPER_2058,0,_l96_uqff_paper_2058_f_trz_compositional_architecture_6_sub_family_taxonomy_half_factor_sub_family_complete_closure,,,9,derived
f_trz_identity,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_F_TRZ_SO5_identity_closure,f_trz_identity,,,derived
f_trz_ladder_24_rungs_11_domains_broad_framework_validation,dispatch,closure,,,24,,,,,PAPER_2043,0,_l96_uqff_paper_2043_f_trz_ladder_24_rungs_11_domains_broad_framework_validation_closure,,,30,derived
f_trz_ladder_n_1_value,dispatch,closure,,,0.1,,,,,PAPER_1919,0,_l96_uqff_paper_1919_f_trz_ladder_n_1_value_closure,,,64,derived
f_trz_ladder_population_matrix_gaps_264_cells_15pct_coverage,dispatch,closure,,,264,,,,,PAPER_2043,0,_l96_uqff_paper_2043_f_trz_ladder_population_matrix_gaps_264_cells_15pct_coverage_closure,,,30,derived
f_trz_landmark_derivative,dispatch,closure,,,0.1,,,,,PAPER_1960,0,_l96_uqff_paper_1960_f_trz_landmark_derivative_closure,,,37,derived
f_trz_magnetar_halo_dm_cross_scale_twin,dispatch,closure,,,0.1,,,,,PAPER_1995,0,_l96_uqff_paper_1995_f_trz_magnetar_halo_dm_cross_scale_twin_closure,,,6,derived
f_trz_n_lenr_vacuum_density_ladder,dispatch,closure,,,0.1,,,,,PAPER_2013,0,_l96_uqff_paper_2013_f_trz_n_lenr_vacuum_density_ladder_closure,,,24,derived
f_trz_pow_20_ism_density_ladder_rung_landmark_paper_2100,dispatch,closure,,,1e-20,,,,,PAPER_2100,0,_l96_uqff_paper_2100_f_trz_pow_20_ism_density_ladder_rung_landmark_closure,,,16,derived
f_trz_pow_3_eight_instance_time_decay_ladder_rung_landmark_paper_2109,dispatch,closure,,,0.0010000000000000002,,,,,PAPER_2109,0,_l96_uqff_paper_2109_f_trz_pow_3_eight_instance_time_decay_ladder_rung_landmark_closure,,,7,derived
f_trz_pow_4_six_instance_ladder_rung_landmark_paper_2105,dispatch,closure,,,0.0001,,,,,PAPER_2105,0,_l96_uqff_paper_2105_f_trz_pow_4_six_instance_ladder_rung_landmark_closure,,,9,derived
f_trz_pow_50_deepest_suppression_rung_fuzzy_dm_energy_landmark_paper_2113,dispatch,closure,,,1.0000000000000027e-50,,,,,PAPER_2113,1,_l96_uqff_paper_2113_f_trz_pow_50_deepest_suppression_rung_fuzzy_dm_energy_landmark_closure,,,3,derived
f_trz_pow_d_crit_primitive_as_exponent_vacuum_density_landmark_paper_2107,dispatch,closure,,,1e-26,,,,,PAPER_2107,0,_l96_uqff_paper_2107_f_trz_pow_d_crit_primitive_as_exponent_vacuum_density_landmark_closure,,,6,derived
f_trz_pow_n_ch_completes_f_trz_primitive_as_exponent_quintuplet_landmark_paper_2117,dispatch,closure,,,1.0000000000000005e-09,,,,,PAPER_2117,1,_l96_uqff_paper_2117_f_trz_pow_n_ch_completes_f_trz_primitive_as_exponent_quintuplet_landmark_closure,,,5,derived
f_trz_squared_1_100,dispatch,closure,,,'',,,,,PAPER_1518,0,_l96_uqff_axiom_paper_1518_F_TRZ_squared_1_100_closure,f_trz_squared,,17,derived
f_trz_squared_99_percent_suppression,dispatch,closure,,,0.01,,,,,PAPER_1918,0,_l96_uqff_paper_1918_f_trz_squared_99_percent_suppression_closure,f_trz_squared,,23,derived
f_trz_three_face_framework,dispatch,closure,,,3,,,,,PAPER_1949,0,_l96_uqff_paper_1949_f_trz_three_face_framework_closure,,,18,derived
f_trz_universal_radiation_fraction,dispatch,closure,,,0.1,,,,,PAPER_1951,0,_l96_uqff_paper_1951_f_trz_universal_radiation_fraction_closure,,,6,derived
f_u_alpha_decay_1_over_so5_3,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_F_U_alpha_decay_1_over_SO_5_cubed_closure,,,,derived
f_u_genesis_4_component,dispatch,closure,,,'',,,,,PAPER_133,0,_l96_uqff_axiom_paper_133_F_U_genesis_4_component_closure,,,12,derived
f_ub_buoyancy_frequency,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_f_Ub_buoyancy_frequency_closure,,,,derived
f_ub_calibration,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_mass_without_weight_F_Ub_closure,,,,derived
f_ubi_i_99_universal_coupling,dispatch,closure,,,1.0972575,,,,,PAPER_1906,0,_l96_uqff_paper_1906_f_ubi_i_99_universal_coupling_closure,,,9,derived
f_umr_magnetic_resonance,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_f_UMR_universal_magnetic_resonance_closure,,,,derived
faber_jackson,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_faber_jackson_closure,faber_jackson_exp,,,derived
factorial_26_4_03e26,dispatch,closure,,,'',,,,,PAPER_1161,0,_l96_uqff_axiom_paper_1161_factorial_26_4_03e26_closure,factorial_26,,7,derived
faint_young_sun,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_faint_young_sun_closure,,,,derived
faraday_f_96485,dispatch,closure,,,'',,,,,PAPER_1209EE,0,_l96_uqff_axiom_paper_1209ee_s626_faraday_F_96485_closure,faraday_f_96485,,8,derived
fermi_paradox,dispatch,closure,,,1.0,,,,,,0,_l96_uqff_axiom_fermi_paradox_closure,,,,derived
field_freq_spooky_action_d_bsfg_so_5_3_quantum_non_locality_frequency_domain,dispatch,closure,,,6000,,,,,PAPER_2062,0,_l96_uqff_paper_2062_field_freq_spooky_action_d_bsfg_so_5_3_quantum_non_locality_frequency_domain_closure,,,17,derived
field_gen_power_field_generator_d_crit_minus_n_ch_17_partial_novel_paper_2053_subexpression_standalone_watt_domain,dispatch,closure,,,17,,,,,PAPER_2053,0,_l96_uqff_paper_2085_field_gen_power_field_generator_d_crit_minus_n_ch_17_partial_novel_paper_2053_subexpression_standalone_watt_domain_closure,,,8,derived
final_parsec,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_final_parsec_problem_closure,,,,derived
first_fully_classified_calculator_triadic_certification_standard_paper_2127,dispatch,closure,,,"(1, 6, 0)",,,,,PAPER_2127,1,_l96_uqff_paper_2127_first_fully_classified_calculator_triadic_one_kernel_six_lattice_nodes_certification_standard_landmark_closure,,,2,derived
flat_rotation_beta_i_6029,dispatch,closure,,,'',,,,,PAPER_1327,0,_l96_uqff_axiom_paper_1327_flat_rotation_beta_i_6029_closure,flat_rotation_beta_i,,4,derived
flatness_1_over_d_crit_7,dispatch,closure,,,'',,,,,PAPER_1461,0,_l96_uqff_axiom_paper_1461_flatness_1_over_d_crit_7_closure,flatness_1_over_d_crit_7,,2,derived
flatness_problem,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_flatness_problem_closure,,,,derived
flocking_rho_0_506,dispatch,closure,,,'',,,,,PAPER_1356,0,_l96_uqff_axiom_paper_1356_flocking_rho_0_506_closure,flocking_rho_0_506,,2,derived
fluctuation_dissipation,dispatch,closure,,,True,,,,,,0,_l96_uqff_axiom_fluctuation_dissipation_closure,,,,derived
flyby_anomaly,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_flyby_anomaly_closure,,,,derived
fps_video_frame_rate_so_5_2_over_d_phys_minus_1_33_3_new_composed_prefix_ratio_landmark_denominator,dispatch,closure,,,33.3,,,,,PAPER_2085,0,_l96_uqff_paper_2085_fps_video_frame_rate_so_5_2_over_d_phys_minus_1_33_3_new_composed_prefix_ratio_landmark_denominator_closure,,,4,derived
fqh_states,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_fqh_states_closure,,,,derived
frame_interval_ufe_d_phys_minus_1_over_so_5_2_landmark_ratio_2nd_rung_inverse_time_second,dispatch,closure,,,0.03,,,,,PAPER_2065,0,_l96_uqff_paper_2065_frame_interval_ufe_d_phys_minus_1_over_so_5_2_landmark_ratio_2nd_rung_inverse_time_second_closure,,,10,derived
frauchiger_renner,dispatch,closure,,,True,,,,,,1,_l96_uqff_axiom_wigner_friend_closure,,,,derived
frb_origin,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_frb_origin_mechanism_closure,,,,derived
free_will_paradox,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_free_will_paradox_closure,,,,derived
frustration_dim_5,dispatch,closure,,,'',,,,,PAPER_1350,0,_l96_uqff_axiom_paper_1350_frustration_dim_5_closure,frustration_dim_5,,3,derived
full_circle_360_d_bsfg_a_5,dispatch,closure,,,"(360, 45.0)",,,,,PAPER_2116,1,_l96_uqff_paper_2116_full_circle_360_equals_d_bsfg_times_a_5_rotational_geometry_unifying_primitive_landmark_closure,,,4,derived
full_circle_360_d_bsfg_times_a_5_primitive_composition,dispatch,closure,,,360,,,,,PAPER_2040,0,_l96_uqff_paper_2040_full_circle_360_d_bsfg_times_a_5_primitive_composition_closure,,,8,derived
fusion_ignition_lawson,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_fusion_ignition_lawson_closure,,,,derived
g_base_universe_so_5_neg_10_acceleration_4th_orthogonal,dispatch,closure,,,1e-10,,,,,PAPER_2025,0,_l96_uqff_paper_2025_g_base_universe_so_5_neg_10_acceleration_4th_orthogonal_closure,,,21,derived
g_dwarf,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_g_dwarf_problem_closure,,,,derived
g_e_aq_water_radiolysis_d_bsfg_times_f_trz_2_new_composite_integer_primitive_times_f_trz_2_form_chemistry_radiolysis,dispatch,closure,,,0.06,,,,,PAPER_2083,0,_l96_uqff_paper_2083_g_e_aq_water_radiolysis_d_bsfg_times_f_trz_2_new_composite_integer_primitive_times_f_trz_2_form_chemistry_radiolysis_closure,,,4,derived
g_h2_water_radiolysis_2_d_bsfg_over_so_5_new_ratio_form_chemistry_radiolysis,dispatch,closure,,,1.2,,,,,PAPER_2083,0,_l96_uqff_paper_2083_g_h2_water_radiolysis_2_d_bsfg_over_so_5_new_ratio_form_chemistry_radiolysis_closure,,,4,derived
g_horsehead_nebular_scale,dispatch,closure,,,0.001097,,,,,PAPER_1973,0,_l96_uqff_paper_1973_g_horsehead_nebular_scale_closure,,,2,derived
g_value,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_g_value_paradox_closure,,,,derived
galaxy_bar_fraction,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_galaxy_bar_fraction_closure,,,,derived
galaxy_morphology,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_galaxy_morphology_closure,,,,derived
galaxy_rotation,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_galaxy_rotation_closure,,,,derived
galaxy_rotation_full,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_galaxy_rotation_full_closure,,,,derived
galaxy_scale_so5_8_myr,dispatch,closure,,,100.0,,,,,PAPER_1952,0,_l96_uqff_paper_1952_galaxy_scale_so5_8_myr_closure,,,16,derived
galaxy_subtypes_24,dispatch,closure,,,'',,,,,PAPER_1328,0,_l96_uqff_axiom_paper_1328_galaxy_subtypes_24_closure,galaxy_subtypes_24,,3,derived
galaxy_types_4,dispatch,closure,,,'',,,,,PAPER_1328,0,_l96_uqff_axiom_paper_1328_galaxy_types_4_closure,galaxy_types_4,,3,derived
galileo_bijection,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_galileo_bijection_closure,,,,derived
gamma_jet_3c273_quasar_a_5_over_d_phys_lorentz_factor_5th_instance,dispatch,closure,,,15,,,,,PAPER_2055,0,_l96_uqff_paper_2055_gamma_jet_3c273_quasar_a_5_over_d_phys_lorentz_factor_5th_instance_closure,,,6,derived
gamma_jet_ton618_2_so_5_twin_lorentz_factor_dimensional_domain,dispatch,closure,,,20,,,,,PAPER_2060,0,_l96_uqff_paper_2060_gamma_jet_ton618_2_so_5_twin_lorentz_factor_dimensional_domain_closure,,,10,derived
gas_constant_r_8_314,dispatch,closure,,,'',,,,,PAPER_1209AA,0,_l96_uqff_axiom_paper_1209aa_s584_gas_constant_r_8_314_closure,gas_constant_r,,8,derived
gas_reservoir_so_5_5_mass_slot,dispatch,closure,,,100000.0,,,,,PAPER_2014,0,_l96_uqff_paper_2014_gas_reservoir_so_5_5_mass_slot_closure,,,13,derived
gas_v_5_so_5_5_d_phys_plus_1_velocity_class_family_new_prefix,dispatch,closure,,,500000.0,,,,,PAPER_2033,0,_l96_uqff_paper_2033_gas_v_5_so_5_5_d_phys_plus_1_velocity_class_family_new_prefix_closure,,,18,derived
genetic_code,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_genetic_code_optimality_closure,,,,derived
ghz_paradox,dispatch,closure,,,3,,,,,,0,_l96_uqff_axiom_GHZ_paradox_closure,,,,derived
gibbs_mixing,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_gibbs_paradox_closure,,,,derived
glass_tg_over_tm_3_4,dispatch,closure,,,'',,,,,PAPER_1354,0,_l96_uqff_axiom_paper_1354_glass_tg_over_tm_3_4_closure,glass_tg_over_tm,,3,derived
glass_transition,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_glass_transition_closure,,,,derived
glueball_0pp_1_736_gev,dispatch,closure,,,'',,,,,PAPER_1318,0,_l96_uqff_axiom_paper_1318_glueball_0pp_1_736_gev_closure,glueball_0pp_1_736_gev,,587,derived
glueball_mass,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_glueball_mass_closure,,,,derived
goldbach,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_goldbach_conjecture_closure,goldbach_weak,,,derived
goldbach_weak,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_goldbach_weak_closure,goldbach_weak,,,derived
goldbach_weak_odd_3_primes,dispatch,closure,,,'',,,,,PAPER_1297,0,_l96_uqff_axiom_paper_1297_goldbach_weak_odd_3_primes_closure,goldbach_weak,,2,derived
grandfather_paradox,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_grandfather_paradox_closure,,,,derived
grb_bimodality,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_grb_long_short_bimodality_closure,grb_bimodality_2_s,,,derived
grb_bimodality_2_s,dispatch,closure,,,'',,,,,PAPER_1258,0,_l96_uqff_axiom_paper_1258_grb_bimodality_2_s_closure,grb_bimodality_2_s,,2,derived
grb_jet,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_grb_jet_formation_closure,,,,derived
grh,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_grh_generalized_riemann_closure,,,,derived
gross_pitaevskii_vortex,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_vortex_quantization_closure,,,,derived
gw170817_phonon_prefactor,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_gw170817_phonon_damping_prefactor_closure,gw170817_phonon_prefactor,,,derived
gw_damping_bbh_n_ch_so5_sq,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_gw_damping_BBH_N_CH_SO5_closure,gw_damping_bbh,,,derived
gw_damping_bns_one_third,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_gw_damping_BNS_one_third_closure,gw_damping_bns,,,derived
gw_memory_effect,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_gw_memory_effect_closure,,,,derived
gw_memory_fraction_6_pct,dispatch,closure,,,'',,,,,PAPER_1429,0,_l96_uqff_axiom_paper_1429_gw_memory_fraction_6_pct_closure,gw_memory_frac,,2,derived
gw_memory_paired_h_peak,dispatch,closure,,,'',,,,,PAPER_1430,0,_l96_uqff_axiom_paper_1430_gw_memory_paired_h_peak_closure,gw_memory_paired,,2,derived
gw_standard_siren,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_gw_standard_siren_closure,,,,derived
h0_asymmetry_1_0385,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,'',,,,,PAPER_1157,0,_l96_uqff_axiom_paper_1157_h0_asymmetry_1_0385_closure,h0_asymmetry,,5,derived
h0_planck_67_41,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,'',,,,,PAPER_1209GG,0,_l96_uqff_axiom_paper_1209gg_s648_h0_planck_67_41_closure,h0_planck,,7,derived
h0_planck_canonical_67_4,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,'',,,,,PAPER_1372,0,_l96_uqff_axiom_paper_1372_h0_planck_canonical_67_4_closure,h0_planck,,2,derived
h2o_molar_mass_18,dispatch,closure,,,'',,,,,PAPER_1209AA,0,_l96_uqff_axiom_paper_1209aa_h2o_molar_mass_18_closure,,,8,derived
h_0_67p15_compound_planck_cmb,dispatch,closure,,,67.15,,,,,PAPER_2007,0,_l96_uqff_paper_2007_h_0_67p15_compound_planck_cmb_closure,,,6,derived
h_0_hubble_d_crit_minus_d_phys_times_f_trz_19_2_2e_minus_18_landmark_novel_primitive_derivation,dispatch,closure,,,2.2e-18,,,,,PAPER_2093,0,_l96_uqff_paper_2093_h_0_hubble_d_crit_minus_d_phys_times_f_trz_19_2_2e_minus_18_landmark_novel_primitive_derivation_closure,,,19,derived
h_mass_1_008,dispatch,closure,,,'',,,,,PAPER_1209AA,0,_l96_uqff_axiom_paper_1209aa_s585_h_mass_1_008_closure,h_mass_1_008,,8,derived
h_scm_phonon_threshold_paper_1072,dispatch,closure,,,0.99,,,,,PAPER_1072,1,_l96_uqff_paper_1072_scm_activation_heaviside_phonon_threshold_closure,,,799,derived
hadron_complexity_26,dispatch,closure,,,'',,,,,PAPER_1319,0,_l96_uqff_axiom_paper_1319_hadron_complexity_26_closure,hadron_complexity_26,,2,derived
hale_22_alt,dispatch,closure,,,'',,,,,PAPER_1405,0,_l96_uqff_axiom_paper_1405_hale_22_alt_closure,hale_22_alt_v2,,4,derived
half_cycle_period_d_bsfg_times_f_trz_plus_f_trz_2_0_66_new_compound_multiplier_paper_2084_r209_f5_additive_series,dispatch,closure,,,0.66,,,,,PAPER_2084,0,_l96_uqff_paper_2089_half_cycle_period_d_bsfg_times_f_trz_plus_f_trz_2_0_66_new_compound_multiplier_paper_2084_r209_f5_additive_series_closure,,,6,derived
halo_concentration,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_halo_concentration_closure,,,,derived
hanbury_brown_twiss,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hanbury_brown_twiss_closure,,,,derived
hardy_paradox,dispatch,closure,,,0.09017,,,,,,0,_l96_uqff_axiom_hardy_paradox_closure,,,,derived
hartree_e_h_4_36,dispatch,closure,,,'',,,,,PAPER_1209EE,0,_l96_uqff_axiom_paper_1209ee_s632_hartree_E_h_4_36_closure,hartree_e_h_4_36,,8,derived
hayflick_a5_60_div,dispatch,closure,,,'',,,,,PAPER_1363,0,_l96_uqff_axiom_paper_1363_hayflick_a5_60_div_closure,hayflick_a5_60_div,,2,derived
heart_rate_70,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_heart_rate_70_closure,,,10,derived
heat_death_recurrence,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_poincare_recurrence_closure,,,,derived
heaviside_amplifier_1e13,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_heaviside_amplifier_1e13_closure,heaviside,,,derived
heaviside_resistance,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_heaviside_resistance_closure,heaviside,,,derived
heisenberg_uncertainty,dispatch,closure,,,5.269666715855116e-35,,,,,,0,_l96_uqff_axiom_heisenberg_uncertainty_closure,,,,derived
heliosphere_solar_wind_v,dispatch,closure,,,400.0,,,,,PAPER_1900,0,_l96_uqff_paper_1900_heliosphere_solar_wind_v_closure,,,2,derived
hemoglobin_15,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_hemoglobin_15_closure,,,10,derived
hff_2_d_phys_over_so_5_34_hydrogen_compound,dispatch,closure,,,8e-34,,,,,PAPER_2037,0,_l96_uqff_paper_2037_hff_2_d_phys_over_so_5_34_hydrogen_compound_closure,,,12,derived
hierarchy_d_phys_over_d_crit_21,dispatch,closure,,,'',,,,,PAPER_1225,0,_l96_uqff_axiom_paper_1225_hierarchy_d_phys_over_d_crit_21_closure,hierarchy_d_phys_over_d_crit_21,,3,derived
hierarchy_exponent_21,dispatch,closure,,,'',,,,,PAPER_1225,0,_l96_uqff_axiom_paper_1225_hierarchy_exponent_21_closure,hierarchy_exponent_21,,3,derived
hierarchy_mw_over_mpl_1e_17,dispatch,closure,,,'',,,,,PAPER_1463,0,_l96_uqff_axiom_paper_1463_hierarchy_mw_over_mpl_1e_17_closure,hierarchy_mw_over_mpl_1e_17,,2,derived
hierarchy_problem,dispatch,closure,,,8.48827635381255e-18,,,,,,0,_l96_uqff_hierarchy_problem_closure,,,,derived
hierarchy_problem_full,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_hierarchy_problem_full_closure,,,,derived
higgs_125_gev_a_5_k_mex_cross_domain_twin_aging,dispatch,closure,,,125.0,,,,,PAPER_2008,0,_l96_uqff_paper_2008_higgs_125_gev_a_5_k_mex_cross_domain_twin_aging_closure,,,4,derived
higgs_invisible,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_higgs_invisible_decay_closure,higgs_invisible_br,,,derived
higgs_trilinear,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_higgs_trilinear_lambda_HHH_closure,higgs_trilinear_kappa_lambda,,,derived
higgs_trilinear_kappa_lambda,dispatch,closure,PAPER_1156 (R228 precedent; PAPER_2094 = companion form),,'',,,,,PAPER_1310,0,_l96_uqff_axiom_paper_1310_higgs_trilinear_kappa_lambda_closure,higgs_trilinear_kappa_lambda,,2,derived
higgs_vacuum_stability,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_vacuum_stability_closure,,,,derived
higgs_vev_246_gev,dispatch,closure,,,'',,,,,PAPER_1311,0,_l96_uqff_axiom_paper_1311_higgs_vev_246_gev_closure,higgs_vev_246_gev,,5,derived
higgs_vev_origin,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_origin_of_mass_higgs_vev_closure,,,,derived
higgs_vev_origin_c,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_higgs_vev_origin_closure,,,,derived
high_tc_alt_125_k,dispatch,closure,,,'',,,,,PAPER_1347,0,_l96_uqff_axiom_paper_1347_high_tc_alt_125_k_closure,high_tc_alt,,3,derived
high_tc_superconductivity,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_high_tc_superconductivity_closure,,,,derived
high_tc_superconductor_125_k,dispatch,closure,,,'',,,,,PAPER_1347,0,_l96_uqff_axiom_paper_1347_high_tc_superconductor_125_k_closure,high_tc_superconductor_125_k,,3,derived
hilbert_16th,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hilbert_16th_limit_cycles_closure,,,,derived
hilbert_18th,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hilbert_18th_sphere_packing_kepler_closure,,,,derived
hilbert_8th_part2,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_hilbert_8th_part2_goldbach_riemann_unified_closure,,,,derived
hilbert_hotel,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hilbert_hotel_closure,,,,derived
hodge_d_plus_dbsfg_over_so5_1,dispatch,closure,,,'',,,,,PAPER_1230,0,_l96_uqff_axiom_paper_1230_hodge_d_plus_dbsfg_over_so5_1_closure,hodge_d_plus_dbsfg_over_so5_1,,2,derived
holevo_bound,dispatch,closure,,,1.0,,,,,,0,_l96_uqff_axiom_holevo_bound_closure,,,,derived
holographic_boundary_dim_5,dispatch,closure,,,'',,,,,PAPER_1343,0,_l96_uqff_axiom_paper_1343_holographic_boundary_dim_5_closure,holographic_boundary_dim_5,,3,derived
holographic_bulk_bdy_6_5,dispatch,closure,1209EE S628 with Phi_5/6 (PAPER_2129),,'',,,,,PAPER_1282,0,_l96_uqff_axiom_paper_1282_holographic_bulk_bdy_6_5_closure,holographic_bulk_bdy,,2,derived
homochirality,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_homochirality_origin_closure,,,,derived
horizon_problem,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_horizon_problem_closure,horizon_problem_60_efolds,,,derived
horizon_problem_60_efolds,dispatch,closure,,,'',,,,,PAPER_1462,0,_l96_uqff_axiom_paper_1462_horizon_problem_60_efolds_closure,horizon_problem_60_efolds,,2,derived
horsehead_r_star,dispatch,closure,,,15.0,,,,,PAPER_1974,0,_l96_uqff_paper_1974_horsehead_r_star_closure,,,7,derived
hubbard_mbl_u_over_t_4,dispatch,closure,,,'',,,,,PAPER_1362,0,_l96_uqff_axiom_paper_1362_hubbard_mbl_u_over_t_4_closure,hubbard_mbl_u_over_t_4,,2,derived
hubbard_model,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hubbard_model_closure,,,,derived
hubbard_u_over_t_4,dispatch,closure,,,'',,,,,PAPER_1348,0,_l96_uqff_axiom_paper_1348_hubbard_u_over_t_4_closure,hubbard_u_over_t_4,,2,derived
hubble_bubble,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hubble_bubble_closure,hubble_bubble,,,derived
hubble_bubble_30_pct,dispatch,closure,,,'',,,,,PAPER_1457,0,_l96_uqff_axiom_paper_1457_hubble_bubble_30_pct_closure,hubble_bubble,,2,derived
hubble_h0_sh0es_70,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,'',,,,,PAPER_1209Z,0,_l96_uqff_axiom_paper_1209z_s576_hubble_h0_sh0es_70_closure,hubble_h0_sh0es_70,,10,derived
hubble_oscillation_per_gyr,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_hubble_oscillation_per_Gyr_closure,,,,derived
hubble_tension,dispatch,closure,,,67.4,,,,,,0,_l96_uqff_hubble_tension_canonical_report,hubble_tension,,,derived
hubble_tension_5_6_km_s_mpc,dispatch,closure,,,'',,,,,PAPER_1456,0,_l96_uqff_axiom_paper_1456_hubble_tension_5_6_km_s_mpc_closure,hubble_tension,,2,derived
hubble_tension_dual_endpoint_d_phys_minus_1_resolution,dispatch,closure,,,6.0,,,,,PAPER_2005,0,_l96_uqff_paper_2005_hubble_tension_dual_endpoint_d_phys_minus_1_resolution_closure,hubble_tension,,15,derived
hudf_i_0,dispatch,closure,,,0.05,,,,,PAPER_1976,0,_l96_uqff_paper_1976_hudf_i_0_closure,,,13,derived
hudf_tau_inter,dispatch,closure,,,1000000000.0,,,,,PAPER_1976,0,_l96_uqff_paper_1976_hudf_tau_inter_closure,,,13,derived
hypergraph_structural_counts,dispatch,closure,,,74.0,,,,,PAPER_1898,0,_l96_uqff_paper_1898_hypergraph_structural_counts_closure,,,7,derived
i_tapestry_so_5_20_current_domain,dispatch,closure,,,1e+20,,,,,PAPER_2023,0,_l96_uqff_paper_2023_i_tapestry_so_5_20_current_domain_closure,,,13,derived
inertia_origin_10,dispatch,closure,,,'',,,,,PAPER_1466,0,_l96_uqff_axiom_paper_1466_inertia_origin_10_closure,inertia_origin_10,,3,derived
inflation_epoch,dispatch,closure,,,-2512.0,,,,,,0,_l96_uqff_axiom_inflation_epoch_closure,,,,derived
